 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
2,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
3,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
4,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
5,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
6,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
7,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
8,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
9,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
10,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
11,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
12,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
13,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
14,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
15,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
16,4.463,0,18.294,10.995,18.294,10.995,0.313,2.323,0.430,0.409
17,5.150,0,15.427,11.932,15.427,11.932,0.452,2.217,0.451,0.395
18,11.330,0,16.711,12.712,16.711,12.712,0.366,1.701,0.588,0.592
19,16.823,0,16.936,12.294,16.936,12.294,0.729,1.674,0.598,0.807
20,23.861,0,17.117,12.690,17.117,12.690,0.619,1.261,0.793,0.665
21,30.899,0,17.275,12.163,17.275,12.163,0.483,1.316,0.760,0.755
22,33.817,0,17.463,11.894,17.463,11.894,0.607,1.286,0.778,0.835
23,34.161,0,17.609,11.475,17.609,11.475,0.625,1.174,0.852,0.826
24,32.444,0,18.183,11.503,18.183,11.503,0.605,1.031,0.970,0.813
25,31.414,0,18.426,11.446,18.426,11.446,0.674,1.154,0.867,0.744
26,28.152,0,18.725,10.851,18.725,10.851,0.764,1.174,0.852,0.877
27,24.891,0,18.803,10.551,18.803,10.551,0.905,1.086,0.921,0.932
28,24.719,0,19.738,10.194,19.738,10.194,0.776,1.020,0.981,0.835
29,22.831,0,19.948,10.353,19.948,10.353,0.821,1.051,0.951,0.881
30,22.144,0,19.895,10.234,19.895,10.234,0.730,1.140,0.877,0.748
31,21.801,0,20.626,10.086,20.626,10.086,0.805,1.116,0.896,0.873
